time,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,conditions,icon
01/01/2021 0:00,6.7,4.1,1.4,68.84,0,0,0,0,13.3,33,1029.4,89.6,16,0,0,Partially cloudy,partly-cloudy-night
01/01/2021 1:00,6.1,2.8,-0.8,61.25,0,0,0,0,17.5,40,1029.5,100,16,0,0,Overcast,cloudy
01/01/2021 2:00,5.6,2.5,-0.4,65.28,0,0,0,0,15.1,30,1030,100,16,0,0,Overcast,cloudy
01/01/2021 3:00,5.5,2.2,-0.8,63.67,0,0,0,0,16.6,38,1030.6,100,16,0,0,Overcast,cloudy
01/01/2021 4:00,5.1,1.8,-0.9,64.87,0,0,0,0,15.5,33,1030.9,100,16,0,0,Overcast,cloudy
01/01/2021 5:00,5,2.4,-0.9,65.43,0,0,0,0,11.5,40,1030.9,100,16,0,0,Overcast,cloudy
01/01/2021 6:00,5,3,-0.9,65.43,0,0,0,0,8.7,20,1031.6,100,16,0,0,Overcast,cloudy
01/01/2021 7:00,4.9,1.9,-0.9,66.08,0,0,0,0,13.3,30,1032.1,100,16,4.5,0,Overcast,cloudy
01/01/2021 8:00,4.7,1.6,-0.9,66.64,0,0,0,0,14,33,1032,100,15.6,11,0,Overcast,cloudy
01/01/2021 9:00,4.3,1.5,-1.1,67.53,0,0,0,0,12,32,1032.1,100,15.6,33,0,Overcast,cloudy
01/01/2021 10:00,4.7,2.5,-1.2,65.29,0,0,0,0,9.3,30,1031.9,100,16,68,1,Overcast,cloudy
01/01/2021 11:00,4.9,2.5,-0.8,66.61,0,0,0,0,10.1,38,1030.6,100,16,75,1,Overcast,cloudy
01/01/2021 12:00,5.5,2.7,-0.5,65.48,0,0,0,0,13,50,1028.9,100,16,86,1,Overcast,cloudy
01/01/2021 13:00,5.4,2.2,0.2,69.09,0,0,0,0,15,45,1027.4,100,16,71,1,Overcast,cloudy
01/01/2021 14:00,4.6,2.4,1.6,80.92,0,0,0,0,9.4,76,1026.2,100,10.1,70,1,Overcast,cloudy
01/01/2021 15:00,4.1,1.7,2,86.24,0,0,0,0,9.7,23,1025.7,100,15,24,0,Overcast,cloudy
01/01/2021 16:00,4.5,2.4,2.2,84.59,0.06,100,0,0,8.9,46,1024.4,100,14.3,16,0,"Rain, Overcast",rain
01/01/2021 17:00,4.1,2.7,2.5,88.91,0,0,0,0,6.1,29,1023.9,100,5.4,5,0,Overcast,cloudy
01/01/2021 18:00,3.8,1.2,2.9,93.76,0.29,100,0,0,10.3,336,1023.2,100,7.6,0,0,"Rain, Overcast",rain
01/01/2021 19:00,2.7,-0.7,2.1,95.3,2.46,100,0,0,12.9,321,1023,100,3.7,0,0,"Rain, Overcast",rain
01/01/2021 20:00,2.6,-0.1,1.9,95.29,2.42,100,0,0,9.6,350,1021.4,97.9,6.4,0,0,"Rain, Overcast",rain
01/01/2021 21:00,2.6,0,1.9,95.29,2,100,0,0,9.3,355,1020,100,8.5,0,0,"Rain, Overcast",rain
01/01/2021 22:00,2.1,-1.6,1.5,95.88,3.82,100,0,0,13.7,315,1019.8,100,10.1,0,0,"Rain, Overcast",rain
01/01/2021 23:00,2.1,-2.3,1.5,95.42,1.2,100,0,0,18.6,146,1015.2,100,12.7,0,0,"Rain, Overcast",rain
01/02/2021 0:00,2.5,-0.4,1.5,93.29,0.24,100,0,0,10.4,296,1016,100,16,0,0,"Rain, Overcast",rain
01/02/2021 1:00,2.5,0.1,1.8,95.29,0,0,0,0,8.3,292,1015.7,100,16,0,0,Overcast,cloudy
01/02/2021 2:00,2.6,0.3,1.9,95.47,0,0,0,0,8,280,1015.3,100,5.4,0,0,Overcast,cloudy
01/02/2021 3:00,2.6,0.1,1.9,95.1,0.18,100,0,0,9,224,1014.9,100,4.2,0,0,"Rain, Overcast",rain
01/02/2021 4:00,2.8,0,2.6,98.48,0,0,0,0,10.4,212,1013.9,100,5,0,0,Overcast,cloudy
01/02/2021 5:00,3.6,0.3,3.4,98.68,0,0,0,0,13,214,1013.2,100,5.2,0,0,Overcast,cloudy
01/02/2021 6:00,5.7,2.9,4.9,94.54,0,0,0,0,12.9,229,1013.1,100,7.1,0,0,Overcast,cloudy
01/02/2021 7:00,6.8,4,6.3,96.53,0,0,0,0,14.8,248,1013.7,100,7.7,5.4,0,Overcast,cloudy
01/02/2021 8:00,6.9,4.6,6.4,96.53,0,0,0,0,11.8,251,1014.5,100,14.5,16,0,Overcast,cloudy
01/02/2021 9:00,7.7,5.4,7,95.3,0,0,0,0,13.1,240,1015.1,81.2,16,87,1,Partially cloudy,partly-cloudy-day
01/02/2021 10:00,9.2,7.4,7.9,91.62,0,0,0,0,12.2,230,1015.5,52.7,16,166,2,Partially cloudy,partly-cloudy-day
01/02/2021 11:00,12.7,12.7,9,78.09,0,0,0,0,11.2,238,1015.5,52.7,16,427,4,Partially cloudy,partly-cloudy-day
01/02/2021 12:00,15.9,15.9,9.5,65.87,0,0,0,0,13.6,259,1015.1,52.7,16,463,5,Partially cloudy,partly-cloudy-day
01/02/2021 13:00,17.2,17.2,10,62.75,0,0,0,0,14.8,238,1014.9,52.7,16,476,5,Partially cloudy,partly-cloudy-day
01/02/2021 14:00,18,18,8.7,54.32,0,0,0,0,13.4,287,1015,52.7,16,239,2,Partially cloudy,partly-cloudy-day
01/02/2021 15:00,17.8,17.8,8.6,55.01,0,0,0,0,7.9,243,1015.9,52.7,16,114,1,Partially cloudy,partly-cloudy-day
01/02/2021 16:00,16.6,16.6,8.7,59.51,0,0,0,0,1.2,310,1016.5,59.3,16,70,1,Partially cloudy,partly-cloudy-day
01/02/2021 17:00,13.1,13.1,9.5,78.76,0,0,0,0,7.3,84,1017.2,59.3,16,19,0,Partially cloudy,partly-cloudy-day
01/02/2021 18:00,11.6,11.6,9.2,85.03,0,0,0,0,9.1,54,1018,59.3,16,0,0,Partially cloudy,partly-cloudy-night
01/02/2021 19:00,10.6,10.6,7.7,81.9,0,0,0,0,10.4,47,1018.2,59.3,16,0,0,Partially cloudy,partly-cloudy-night
01/02/2021 20:00,9.8,9.1,6.4,79.11,0,0,0,0,6.7,45,1018.7,59.3,16,0,0,Partially cloudy,partly-cloudy-night
01/02/2021 21:00,9.4,8.6,5.8,78.25,0,0,0,0,6.7,54,1018.7,81.2,16,0,0,Partially cloudy,partly-cloudy-night
01/02/2021 22:00,9.4,8.4,5.8,78.41,0,0,0,0,7.6,40,1019.1,97.9,16,0,0,Overcast,cloudy
01/02/2021 23:00,9.2,8.3,6.1,80.65,0,0,0,0,7.2,58,1018.5,100,16,0,0,Overcast,cloudy
01/03/2021 0:00,9.5,8.7,6.3,80.11,0,0,0,0,6.9,56,1018,100,16,0,0,Overcast,cloudy
01/03/2021 1:00,9.2,7.2,5.1,75.55,0,0,0,0,13.6,59,1017.5,100,16,0,0,Overcast,cloudy
01/03/2021 2:00,8.2,6.6,5.7,84.47,0.51,100,0,0,9.3,53,1018.2,100,11.6,0,0,"Rain, Overcast",rain
01/03/2021 3:00,7.1,4.6,5.6,90.36,1.05,100,0,0,13.6,84,1015.2,97.9,16,0,0,"Rain, Overcast",rain
01/03/2021 4:00,6.6,4.5,5.8,95.01,2.97,100,0,0,10.2,27,1015.2,100,5.6,0,0,"Rain, Overcast",rain
01/03/2021 5:00,6.6,3.9,5.9,95.1,4.61,100,0,0,14,354,1016.9,100,4,0,0,"Rain, Overcast",rain
01/03/2021 6:00,6.1,3.7,5.5,95.7,4.05,100,0,0,11.8,62,1015.7,100,9.5,0,0,"Rain, Overcast",rain
