time,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,conditions,icon
01/01/2021 0:00,-3.1,-8.2,-5.4,84.41,0,0,0,0.87,14.6,54,1027.3,60.8,13,0,0,Partially cloudy,partly-cloudy-night
01/01/2021 1:00,-1.8,-5.7,-3.9,85.36,0,0,0,0.78,10.9,109,1028.1,100,13.5,0,0,Overcast,cloudy
01/01/2021 2:00,-1.3,-6.5,-3.7,83.56,0,0,0,0.7,17.7,75,1026.4,100,13.2,0,0,Overcast,cloudy
01/01/2021 3:00,-0.7,-5.4,-3.5,81.56,0,0,0,0.61,15.5,89,1026.9,100,14.2,0,0,Overcast,cloudy
01/01/2021 4:00,-0.5,-6.1,-3.1,82.26,0,0,0,0.52,21.6,63,1025.3,100,14.5,0,0,Overcast,cloudy
01/01/2021 5:00,-0.1,-5.4,-3.1,80.56,0,0,0,0.44,20,80,1024.6,100,14.5,0,0,Overcast,cloudy
01/01/2021 6:00,-0.1,-5.3,-3.1,79.85,0,0,0,0.35,20.1,87,1023.7,100,14.5,0,0,Overcast,cloudy
01/01/2021 7:00,-0.1,-5.1,-2.6,83.1,0.1,100,0,0.26,18.9,90,1022.7,100,12.8,0,0,"Snow, Rain, Overcast",snow
01/01/2021 8:00,0.2,-5.3,-1.9,86.08,1.05,100,0.74,1,21.9,81,1021.2,100,7.5,9.2,0,"Snow, Rain, Overcast",snow
01/01/2021 9:00,0.4,-4.5,-1.4,87.63,1.52,100,0,0.96,18.8,78,1019.9,100,7.5,40.8,0,"Snow, Rain, Overcast",rain
01/01/2021 10:00,0.9,-4.2,-0.4,91.03,5.99,100,0,0.92,20.2,85,1018.2,100,3.9,97.5,1,"Snow, Rain, Overcast",rain
01/01/2021 11:00,1,-4.3,0,92.55,2.61,100,0,0.88,22.7,91,1016.6,100,3.8,105,1,"Snow, Rain, Overcast",rain
01/01/2021 12:00,1.6,-3.7,0.7,93.89,4.34,100,0,0.83,23.2,89,1014.1,100,4.2,173.4,2,"Snow, Rain, Overcast",rain
01/01/2021 13:00,2.4,-1.3,1.6,94.66,5.23,100,0,0.79,13.7,92,1012.8,100,5.7,271.5,3,"Rain, Overcast",rain
01/01/2021 14:00,3.4,0.6,2.7,95.22,1.38,100,0,0.75,10.9,105,1011.5,100,12.3,272.5,3,"Rain, Overcast",rain
01/01/2021 15:00,4.2,1,3.2,93.27,0,0,0,0.71,14.1,109,1010.3,100,12.3,220.1,2,Overcast,cloudy
01/01/2021 16:00,4.8,1.9,4,94.67,0,0,0,0.67,13,107,1009.1,97.1,15,70.3,1,Overcast,cloudy
01/01/2021 17:00,5.5,3.3,4.7,94.86,0,0,0,0.63,9.7,96,1008,81.1,15,1.6,0,Partially cloudy,partly-cloudy-day
01/01/2021 18:00,6.2,4.1,5.4,94.8,0,0,0,0.58,10,94,1007,100,11.3,0,0,Overcast,cloudy
01/01/2021 19:00,7.2,4.8,6.4,94.66,0.27,100,0,0.54,12.5,97,1005.1,92.7,11.3,0,0,"Rain, Overcast",rain
01/01/2021 20:00,7.5,5.1,6.3,91.84,1.92,100,0,0.5,13.3,252,1007.5,98,16,0,0,"Rain, Overcast",rain
01/01/2021 21:00,7.1,3.9,5.9,92.03,0,0,0,0.46,18.8,275,1008.3,100,16,0,0,Overcast,cloudy
01/01/2021 22:00,7.4,5.3,5.9,90.25,0,0,0,0.42,11.4,225,1008.4,100,16,0,0,Overcast,cloudy
01/01/2021 23:00,7.9,4,5.4,83.93,0,0,0,0.37,28.5,240,1009.2,100,16,0,0,Overcast,cloudy
01/02/2021 0:00,7.6,3.5,4.5,81,0,0,0,0.33,28.4,236,1010,100,16,0,0,Overcast,cloudy
01/02/2021 1:00,7.2,3,3.9,79.75,0,0,0,0.29,29.5,247,1010.4,100,16,0,0,Overcast,cloudy
01/02/2021 2:00,6.1,1.7,4,86.35,0,0,0,0.25,28.3,250,1011.9,100,13.3,0,0,Overcast,cloudy
01/02/2021 3:00,5,0.7,2.8,85.86,0,0,0,0.21,22.7,251,1013.3,100,16,0,0,Overcast,cloudy
01/02/2021 4:00,4,-0.8,1.9,86.05,0,0,0,0.17,24.8,259,1014.6,100,16,0,0,Overcast,cloudy
01/02/2021 5:00,3.2,-1.5,0.7,84.12,0,0,0,0.13,22.3,259,1015.5,100,16,0,0,Overcast,cloudy
01/02/2021 6:00,2.4,-2.2,0.1,84.77,0,0,0,0.08,20,260,1016.6,100,16,0,0,Overcast,cloudy
01/02/2021 7:00,2.3,-2,-0.1,83.84,0,0,0,0.04,18.3,266,1017.6,100,16,0,0,Overcast,cloudy
01/02/2021 8:00,2,-1.7,-0.3,84.88,0,0,0,0,13.4,264,1018.6,100,16,30.1,0,Overcast,cloudy
01/02/2021 9:00,1.8,-0.9,-0.3,86.06,0,0,0,0,9.2,265,1019.1,100,16,132.2,1,Overcast,cloudy
01/02/2021 10:00,2.3,2.3,0.1,85.44,0,0,0,0,2,332,1019.1,87,16,226.5,2,Partially cloudy,partly-cloudy-day
01/02/2021 11:00,3,3,0.1,81.58,0,0,0,0,2.4,73,1018.7,93.4,16,276.1,3,Overcast,cloudy
01/02/2021 12:00,3.4,1.6,-0.1,77.67,0,0,0,0,6.8,105,1018.5,100,16,278.9,3,Overcast,cloudy
01/02/2021 13:00,3.3,3.3,-0.1,78.16,0,0,0,0,0,0,1018.1,100,16,264.1,3,Overcast,cloudy
01/02/2021 14:00,3.1,0.7,0,79.92,0,0,0,0,9,139,1018.1,100,16,223.9,2,Overcast,cloudy
01/02/2021 15:00,3.1,1.5,0.2,81.3,0,0,0,0,6.2,111,1018.4,100,16,144.7,1,Overcast,cloudy
01/02/2021 16:00,3.1,1.6,0.1,80.55,0,0,0,0,5.9,94,1017.8,100,16,55.1,1,Overcast,cloudy
01/02/2021 17:00,3,0.4,0.5,83.73,0,0,0,0,9.5,92,1017.4,100,16,1.6,0,Overcast,cloudy
01/02/2021 18:00,2.9,1,0.6,84.57,0,0,0,0,6.9,63,1017.3,100,16,0,0,Overcast,cloudy
01/02/2021 19:00,3,1,0.9,86.1,0,0,0,0,7.2,72,1017.5,100,16,0,0,Overcast,cloudy
01/02/2021 20:00,3.1,3.1,1,85.8,0,0,0,0,4.1,76,1016.7,100,16,0,0,Overcast,cloudy
01/02/2021 21:00,3.1,0.9,1,85.79,0,0,0,0,8,95,1016,100,15,0,0,Overcast,cloudy
01/02/2021 22:00,3.1,3.1,1.1,86.29,0,0,0,0,0,0,1016,100,13.5,0,0,Overcast,cloudy
01/02/2021 23:00,2.9,2.9,1.6,91.08,0,0,0,0,0,0,1015.4,100,12.8,0,0,Overcast,cloudy
01/03/2021 0:00,2.8,0.8,1.6,92.19,0,0,0,0,7.3,56,1014.1,100,9.4,0,0,Overcast,cloudy
01/03/2021 1:00,3,3,2.2,94.51,0.18,100,0,0,0,0,1014.2,100,11,0,0,"Rain, Overcast",rain
01/03/2021 2:00,3,3,2.1,94.19,0,0,0,0,0,0,1013.8,100,7.4,0,0,Overcast,cloudy
01/03/2021 3:00,2.8,2.8,2.1,95.62,0,0,0,0,4.1,318,1013.8,100,3.5,0,0,Overcast,cloudy
01/03/2021 4:00,2.8,1.4,2,94.92,0.12,100,0,0,5.4,12,1013.4,100,6.4,0,0,"Rain, Overcast",rain
01/03/2021 5:00,2.8,2.8,2.3,96.78,0,0,0,0,2.9,90,1013.4,100,6.5,0,0,Overcast,cloudy
01/03/2021 6:00,2.5,0.2,2.2,97.36,0,0,0,0,8.3,191,1013.4,100,5,0,0,Overcast,cloudy
01/03/2021 7:00,2.6,-0.3,2,95.95,0,0,0,0,10.5,217,1014,100,4.3,0,0,Overcast,cloudy
01/03/2021 8:00,2.9,-1.1,2.3,96.1,0,0,0,0,16.2,239,1014.2,100,12,39.3,0,Overcast,cloudy
01/03/2021 9:00,2.9,-1.1,1.9,93.67,0,0,0,0,16.2,247,1014.8,100,14.7,153,2,Overcast,cloudy
01/03/2021 10:00,3,-0.7,1.2,87.91,0,0,0,0,15.5,253,1015.4,100,15.2,270.9,3,Overcast,cloudy
01/03/2021 11:00,3,-1.5,-0.1,80.34,0,0,0,0,20.5,254,1015.7,100,16,368.6,4,Overcast,cloudy
01/03/2021 12:00,3.1,-1,-0.3,78.3,0,0,0,0,17.6,265,1015.7,100,16,366.6,4,Overcast,cloudy
01/03/2021 13:00,3.3,-1.5,-0.9,73.88,0,0,0,0,24.1,250,1015.3,100,16,339.3,3,Overcast,cloudy
01/03/2021 14:00,2.9,-1.6,-1,75.62,0,0,0,0,20.8,255,1015,100,16,187.7,2,Overcast,cloudy
01/03/2021 15:00,2.9,-1.3,-1,75.62,0,0,0,0,17.9,256,1015.5,100,16,133.1,1,Overcast,cloudy
01/03/2021 16:00,2.4,-2.1,-0.8,79.21,0,0,0,0,19.7,253,1016.4,100,15.5,49.6,0,Overcast,cloudy
01/03/2021 17:00,2.1,-1.7,-0.6,82.05,0,0,0,0,14.4,250,1016.9,100,15,1.4,0,Overcast,cloudy
01/03/2021 18:00,1.6,-2.2,-0.6,85.13,0,0,0,0,13.7,254,1017.5,100,12,0,0,Overcast,cloudy
