time,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,conditions,icon
01/01/2021 0:00,1.1,-3.9,-1.1,84.73,0,0,0,0,20.5,50,1024.5,98.8,13,0,0,Overcast,cloudy
01/01/2021 1:00,1.1,-3.5,-1.1,84.73,0,0,0,0,18.4,60,1023.5,98.8,13,0,0,Overcast,cloudy
01/01/2021 2:00,1.7,-3.2,-0.6,84.51,0,0,0,0,20.5,70,1022.7,98.8,13.9,0,0,Overcast,cloudy
01/01/2021 3:00,1.7,-2.6,-0.6,84.52,0,0,0,0,16.6,80,1022.8,98.8,11,0,0,Overcast,cloudy
01/01/2021 4:00,1.7,-2.3,0,88.57,0.29,100,0,0,14.8,80,1022.2,98.8,8,0,0,"Snow, Rain, Overcast",rain
01/01/2021 5:00,1.7,-3.2,0,88.57,2.55,100,0,0,20.5,60,1020.4,98.8,8,0,0,"Snow, Rain, Overcast",rain
01/01/2021 6:00,1.7,-3.4,0,88.53,2.54,100,0,0,22.4,60,1018.4,98.8,8.1,0,0,"Snow, Rain, Overcast",rain
01/01/2021 7:00,2.2,-2.8,0.7,89.56,3.3,100,0,0,22.3,80,1017.5,98.8,6,0,0,"Rain, Overcast",rain
01/01/2021 8:00,2.2,-1.7,1.2,92.78,6.17,100,0,0,14.9,80,1016.5,98.8,4,1,0,"Rain, Overcast",rain
01/01/2021 9:00,2.8,-0.4,1.7,92.17,3.19,100,0,0,12.1,55,1016.1,98.8,2,6,0,"Rain, Overcast",rain
01/01/2021 10:00,3.4,-0.5,2.2,92.19,3.25,100,0,0,16.5,90,1015.3,98.8,8,5,0,"Rain, Overcast",rain
01/01/2021 11:00,4.3,0.2,2.9,90.02,0.86,100,0,0,20.5,110,1013.8,98.8,10,5,0,"Rain, Overcast",rain
01/01/2021 12:00,6.2,4.2,5,92.29,0.9,100,0,0,9.5,100,1011.8,98.8,16,5,0,"Rain, Overcast",rain
01/01/2021 13:00,9.4,7.4,7.9,90.23,0.29,100,0,0,13,90,1009.8,88,16,5,0,"Rain, Partially cloudy",rain
01/01/2021 14:00,14.3,14.3,11.2,81.1,0,0,0,0,13,140,1007.9,87.4,16,5,0,Partially cloudy,partly-cloudy-day
01/01/2021 15:00,17.2,17.2,13.3,78.13,0,0,0,0,18.3,140,1006.5,0.6,16,5,0,Clear,clear-day
01/01/2021 16:00,18.8,18.8,14.3,75.16,0,0,0,0,18.4,140,1005.4,87.7,16,5,0,Partially cloudy,partly-cloudy-day
01/01/2021 17:00,18.8,18.8,14.3,75.21,0,0,0,0,18.4,160,1004.8,49.3,16,104,1,Partially cloudy,partly-cloudy-day
01/01/2021 18:00,18.3,18.3,14.3,77.51,0,0,0,0,20.6,170,1004.6,88,16,180,0,Partially cloudy,partly-cloudy-night
01/01/2021 19:00,15.3,15.3,11.7,78.73,0.15,100,0,0,27.6,275,1006.7,98.7,16,61,0,"Rain, Overcast",rain
01/01/2021 20:00,12.8,12.8,8.9,76.77,0.01,100,0,0,22.4,270,1008.7,98.8,16,3,0,"Rain, Overcast",rain
01/01/2021 21:00,11.7,11.7,7.9,77.33,0,0,0,0,18.4,270,1009.8,98.8,16,0,0,Overcast,cloudy
01/01/2021 22:00,10,10,5.7,74.39,0,0,0,0,20.5,250,1010.6,88.1,16,5,0,Partially cloudy,partly-cloudy-night
01/01/2021 23:00,8.9,5.9,3.9,70.9,0,0,0,0,20.6,250,1012.1,88.1,16,5,0,Partially cloudy,partly-cloudy-night
01/02/2021 0:00,7.2,4.2,2.8,73.9,0,0,0,0,16.7,240,1012.9,49.8,16,5,0,Partially cloudy,partly-cloudy-night
01/02/2021 1:00,7.2,4.2,2.8,73.93,0,0,0,0,16.6,240,1013.6,98.8,16,5,0,Overcast,cloudy
01/02/2021 2:00,7.2,4.2,2.8,73.94,0,0,0,0,16.6,230,1014.3,98.8,16,5,0,Overcast,cloudy
01/02/2021 3:00,5.7,2.9,2.2,78.42,0,0,0,0,13,220,1014.8,0.7,16,0,0,Clear,clear-night
01/02/2021 4:00,6.1,3.2,2.8,79.38,0,0,0,0,14.8,230,1015.5,98.8,16,0,0,Overcast,cloudy
01/02/2021 5:00,6.1,3.8,3.3,82.24,0,0,0,0,11.3,240,1016.1,98.8,16,0,0,Overcast,cloudy
01/02/2021 6:00,5.6,3.6,2.8,82.2,0,0,0,0,9.4,280,1017,98.8,16,0,0,Overcast,cloudy
01/02/2021 7:00,5,2.8,2.2,82.2,0,0,0,0,9.4,260,1017.5,98.8,16,0,0,Overcast,cloudy
01/02/2021 8:00,4.3,3.2,1.7,82.96,0,0,0,0,5.5,300,1018.1,98.8,16,3,0,Overcast,cloudy
01/02/2021 9:00,4.3,4.3,1.2,79.75,0,0,0,0,0.1,359,1018.4,98.8,16,30,0,Overcast,cloudy
01/02/2021 10:00,5,4,1.2,76.21,0,0,0,0,5.4,0,1018.5,98.8,16,31,0,Overcast,cloudy
01/02/2021 11:00,5.6,5.6,1.2,72.81,0,0,0,0,0.1,359,1018.4,98.8,16,51,1,Overcast,cloudy
01/02/2021 12:00,5.6,4.7,1.2,72.8,0,0,0,0,5.4,230,1018.1,98.8,16,164,2,Overcast,cloudy
01/02/2021 13:00,6.7,6.7,2.2,73.08,0,0,0,0,0.1,0,1017.6,98.8,16,234,2,Overcast,cloudy
01/02/2021 14:00,6.7,6.7,2.2,73.15,0,0,0,0,0.1,0,1017,98.8,16,229,2,Overcast,cloudy
01/02/2021 15:00,6.7,5.9,2.2,73.14,0,0,0,0,5.3,20,1016.5,98.8,14,172,2,Overcast,cloudy
01/02/2021 16:00,6.1,6.1,2.9,79.48,0,0,0,0,0.1,2,1016.1,98.8,16,144,1,Overcast,cloudy
01/02/2021 17:00,6.1,6.1,2.9,79.5,0,0,0,0,0.1,1,1016,98.8,16,114,1,Overcast,cloudy
01/02/2021 18:00,5.6,5.6,3.4,85.23,0,0,0,0,0.1,0,1015.7,98.8,6.1,103,0,Overcast,cloudy
01/02/2021 19:00,5,3.3,3.4,89.09,0,0,0,0,7.6,350,1015.3,98.8,16,40,0,Overcast,cloudy
01/02/2021 20:00,5,3.3,3.4,89.1,0,0,0,0,7.5,360,1015.1,98.8,16,2,0,Overcast,cloudy
01/02/2021 21:00,5,4,3.4,89.12,0,0,0,0,5.4,330,1015.3,98.8,16,0,0,Overcast,cloudy
01/02/2021 22:00,5,5,3.4,89.13,0,0,0,0,0.1,0,1015.2,98.8,16,0,0,Overcast,cloudy
01/02/2021 23:00,5,3.9,3.4,89.18,0,0,0,0,5.5,340,1013.8,98.8,16,0,0,Overcast,cloudy
01/03/2021 0:00,4.3,2.5,2.9,90.03,0,0,0,0,7.5,310,1013.9,98.8,16,0,0,Overcast,cloudy
01/03/2021 1:00,4.3,4.3,3.4,93.27,0,0,0,0,0.1,360,1013.5,98.8,5,0,0,Overcast,cloudy
01/03/2021 2:00,4.3,4.3,3.3,93.25,0,0,0,0,0.1,359,1013.5,98.8,8,0,0,Overcast,cloudy
01/03/2021 3:00,4.3,4.3,3.3,93.25,0,0,0,0,0.1,359,1013.6,98.8,8,0,0,Overcast,cloudy
01/03/2021 4:00,4.3,4.3,2.8,90.04,0,0,0,0,0,0,1013.7,98.8,10,0,0,Overcast,cloudy
01/03/2021 5:00,4.3,4.3,3.1,91.68,0.49,100,0,0,2.6,271,1013.9,98.8,7.1,0,0,"Rain, Overcast",rain
01/03/2021 6:00,4.3,3.2,2.2,86,1.03,100,0,0,5.4,240,1014.4,98.8,14,0,0,"Rain, Overcast",rain
01/03/2021 7:00,4.3,2.5,2.2,86.02,0.32,100,0,0,7.6,260,1014.8,98.8,13,0,0,"Rain, Overcast",rain
01/03/2021 8:00,3.8,1.9,2.2,89.05,0.3,100,0,0,7.6,250,1015.3,98.8,16,2,0,"Rain, Overcast",rain
01/03/2021 9:00,3.8,0.4,1.7,85.93,0.49,100,0,0,14.7,280,1016.2,98.8,6.1,15,0,"Rain, Overcast",rain
01/03/2021 10:00,3.8,1.9,2.2,89.05,0.29,100,0,0,7.6,280,1016.9,98.8,16,11,0,"Rain, Overcast",rain
01/03/2021 11:00,4.3,2,2.2,85.98,0,0,0,0,9.4,250,1017.2,98.8,16,21,0,Overcast,cloudy
01/03/2021 12:00,3.8,0.7,1.2,82.6,0,0,0,0,13,250,1016.9,98.8,16,84,1,Overcast,cloudy
01/03/2021 13:00,3.8,0.1,0.7,79.76,0,0,0,0,16.5,260,1016.4,98.8,16,157,2,Overcast,cloudy
01/03/2021 14:00,3.8,0.7,0,76.16,0,0,0,0,13,250,1016.3,98.8,15.9,197,2,Overcast,cloudy
01/03/2021 15:00,4.3,1.3,-0.6,70.18,0,0,0,0,12.9,250,1016.5,98.8,16,209,2,Overcast,cloudy
01/03/2021 16:00,3.8,1,0,76.1,0,0,0,0,11.1,240,1017.1,98.8,16,199,2,Overcast,cloudy
01/03/2021 17:00,3.3,1.3,-0.6,75.19,0,0,0,0,7.6,260,1017.5,98.8,16,141,1,Overcast,cloudy
01/03/2021 18:00,3.3,0.8,-0.6,75.2,0,0,0,0,9.4,250,1017.9,98.8,16,114,0,Overcast,cloudy
01/03/2021 19:00,3.3,1.3,-0.6,75.23,0,0,0,0,7.6,240,1018.5,98.8,16,30,0,Overcast,cloudy
01/03/2021 20:00,2.8,0.2,-0.6,77.87,0,0,0,0,9.4,260,1018.8,98.8,16,2,0,Overcast,cloudy
01/03/2021 21:00,2.8,1.5,0.6,85.55,0,0,0,0,5.4,240,1018.7,98.8,15.9,0,0,Overcast,cloudy
01/03/2021 22:00,2.8,2.8,0.7,85.57,0,0,0,0,2.7,220,1018.4,98.8,16,0,0,Overcast,cloudy
01/03/2021 23:00,2.8,2.8,0,81.66,0,0,0,0,0.1,358,1018.5,98.8,16,0,0,Overcast,cloudy
01/04/2021 0:00,2.8,2.8,0,81.66,0,0,0,0,0.1,358,1018.1,98.8,16,0,0,Overcast,cloudy
01/04/2021 1:00,2.2,2.2,0,85.47,0,0,0,0,0.1,358,1018.1,88.1,16,0,0,Partially cloudy,partly-cloudy-night
01/04/2021 2:00,1.1,1.1,-0.7,87.79,0,0,0,0,0.1,359,1018.2,27.3,14,0,0,Partially cloudy,partly-cloudy-night
01/04/2021 3:00,-0.6,-2.5,-1.6,92.89,0,0,0,0,5.4,230,1018.6,0,10,0,0,Clear,clear-night
