time,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,conditions,icon
01/01/2021 0:00,4.9,1,-2.2,60.16,0,0,0,0,19.4,11,1030.2,94.7,16,0,0,Overcast,cloudy
01/01/2021 1:00,4.9,1,-2.2,59.97,0,0,0,0,19.6,20,1030.9,100,16,0,0,Overcast,cloudy
01/01/2021 2:00,3.8,0.1,-2.2,64.66,0,0,0,0,16.1,30,1031.6,99.2,16,0,0,Overcast,cloudy
01/01/2021 3:00,3.8,0.3,-2.8,62.02,0,0,0,0,14.5,29,1031.8,100,16,0,0,Overcast,cloudy
01/01/2021 4:00,3.3,0,-3.4,61.66,0,0,0,0,12.8,21,1032.2,100,16,0,0,Overcast,cloudy
01/01/2021 5:00,3.3,-0.2,-3.4,61.59,0,0,0,0,14,39,1032.5,100,16,0,0,Overcast,cloudy
01/01/2021 6:00,2.8,-0.5,-3.4,63.54,0,0,0,0,12.4,31,1032.8,100,16,0,0,Overcast,cloudy
01/01/2021 7:00,2.8,-1.1,-3.9,61.35,0,0,0,0,15.9,50,1032.6,100,16,4,0,Overcast,cloudy
01/01/2021 8:00,2.8,0.2,-3.8,61.78,0,0,0,0,9.2,30,1033.2,100,16,4,0,Overcast,cloudy
01/01/2021 9:00,2.8,-0.1,-3.8,61.83,0,0,0,0,10.6,39,1033.6,100,16,14,0,Overcast,cloudy
01/01/2021 10:00,2.8,-1.1,-3.4,64,0,0,0,0,15.7,51,1032.4,100,16,28,0,Overcast,cloudy
01/01/2021 11:00,3.3,0.8,-2.2,67.46,0,0,0,0,9.2,40,1031.9,98.8,16,52,1,Overcast,cloudy
01/01/2021 12:00,2.1,0,-1.1,78.92,0.99,100,0,0,7.3,47,1030.7,100,6.9,44,0,"Rain, Overcast",rain
01/01/2021 13:00,2.7,-0.5,-0.1,81.8,0.29,100,0,0,12.2,51,1028.4,100,16,77,1,"Rain, Overcast",rain
01/01/2021 14:00,2.8,-0.8,0.6,85.56,0.01,100,0,0,14.1,41,1026.5,99.2,16,59,1,"Rain, Overcast",rain
01/01/2021 15:00,2.8,0.2,0.6,85.66,0,0,0,0,9.3,21,1026.6,100,16,16,0,Overcast,cloudy
01/01/2021 16:00,2.8,-1.3,1.1,88.86,0.28,100,0,0,16.7,32,1025.4,99.2,4.6,8,0,"Rain, Overcast",rain
01/01/2021 17:00,2.2,-1.5,1.1,92.84,3.65,100,0,0,13.8,41,1024.5,100,6.1,1,0,"Rain, Overcast",rain
01/01/2021 18:00,2.8,0.9,1.7,92.55,3.63,100,0,0,6.7,351,1023.4,100,10.1,0,0,"Rain, Overcast",rain
01/01/2021 19:00,2.8,1.6,1.7,92.54,2.59,100,0,0,5.1,321,1022.8,100,8.1,0,0,"Rain, Overcast",rain
01/01/2021 20:00,3.3,0.4,2.2,92.75,3.81,100,0,0,10.7,331,1021.9,100,8.1,0,0,"Rain, Overcast",rain
01/01/2021 21:00,2.8,-0.6,1.7,92.63,1.91,100,0,0,13,348,1020.3,100,16,0,0,"Rain, Overcast",rain
01/01/2021 22:00,3.2,-1.9,2.2,92.7,3.04,100,0,0,26.1,110,1013.9,100,5.5,0,0,"Rain, Overcast",rain
