time,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,conditions,icon
01/01/2021 0:00,0,-3.2,-4.9,69.26,0,0,0,0,9.8,342,1029.4,0,16,0,0,Clear,clear-night
01/01/2021 1:00,-0.7,-3.6,-5.6,69.62,0,0,0,0,8,333,1029.8,0,15.8,0,0,Clear,clear-night
01/01/2021 2:00,-1.7,-5.6,-5.6,74.76,0,0,0,0,11.2,349,1030.7,0,16,0,0,Clear,clear-night
01/01/2021 3:00,-1.7,-4.9,-5.6,74.23,0,0,0,0,8.6,351,1031.1,0,16,0,0,Clear,clear-night
01/01/2021 4:00,-2.1,-4.3,-5.6,76.49,0,0,0,0,5.7,336,1031.4,0,16,0,0,Clear,clear-night
01/01/2021 5:00,-2.2,-5,-6.1,74.29,0,0,0,0,7.2,344,1031.3,0,16,0,0,Clear,clear-night
01/01/2021 6:00,-3.1,-3.1,-6.1,79.88,0,0,0,0,0.4,357,1031.8,0,16,0,0,Clear,clear-night
01/01/2021 7:00,-3.8,-6.3,-6.2,83.56,0.01,100,0,0,5.9,346,1032.6,0,16,14,0,Snow,snow
01/01/2021 8:00,-1.9,-5.3,-5.1,78.37,0,0,0,0,9.1,355,1032.6,0,16,21,0,Clear,clear-day
01/01/2021 9:00,0.1,0.1,-3.7,75.21,0,0,0,0,1.5,7,1033.5,0,16,60,1,Clear,clear-day
01/01/2021 10:00,1.4,-1,-3.2,71.09,0,0,0,0,8,42,1033.1,7.2,16,102,1,Clear,clear-day
01/01/2021 11:00,1.9,-2,-3.7,66.47,0,0,0,0,14.9,68,1032.3,4,16,131,1,Clear,clear-day
01/01/2021 12:00,2,-1.8,-3.2,68.39,0,0,0,0,14,54,1030.2,7.2,16,128,1,Clear,clear-day
01/01/2021 13:00,2.4,-0.9,-3.1,66.7,0,0,0,0,12.1,57,1029.6,9.3,16,104,1,Clear,clear-day
01/01/2021 14:00,2.3,-0.4,-2.9,68.35,0.02,100,0,0,9.8,54,1029.1,99.1,15.6,63,1,"Rain, Overcast",rain
01/01/2021 15:00,1.9,-0.3,-1.3,79.34,0.54,100,0,0,7.4,46,1028.2,100,11,35,0,"Snow, Rain, Overcast",rain
01/01/2021 16:00,1.3,-1.2,-0.9,85.34,0.28,100,0,0,8.1,32,1026.8,99.1,14.3,16,0,"Snow, Rain, Overcast",rain
01/01/2021 17:00,1.3,1.3,0.3,92.68,1.13,100,0,0,1.1,13,1026.7,100,6.6,0,0,"Snow, Rain, Overcast",rain
01/01/2021 18:00,1.8,-1.4,0.9,93.79,1.58,100,0,0,11.3,34,1025.2,96.6,8.2,0,0,"Snow, Rain, Overcast",rain
01/01/2021 19:00,1.9,-2.2,1.3,95.88,2.66,100,0,0,16.1,77,1022.7,100,6.6,0,0,"Snow, Rain, Overcast",rain
01/01/2021 20:00,2.4,-1.8,1.9,96.38,1.62,100,0,0,17.5,68,1021,100,8.6,0,0,"Rain, Overcast",rain
