time,AP,DAY,DEOK,EKPC,PEPCO,RECO
01/01/2021 0:00,5609.462,1770,2819.184,1672.649,2485.725,141.176
01/01/2021 1:00,5532.274,1738,2739.839,1636.03,2453.525,133.433
01/01/2021 2:00,5544.571,1708,2694.92,1633.819,2404.983,128.826
01/01/2021 3:00,5525.824,1689,2677.271,1613.055,2399.877,126.697
01/01/2021 4:00,5576.051,1693,2677.145,1612.926,2464.001,126.628
01/01/2021 5:00,5676.047,1710,2702.718,1649.055,2520.147,130.047
01/01/2021 6:00,5809.553,1759,2790.108,1666.069,2632.459,133.899
01/01/2021 7:00,5888.583,1796,2845.197,1694.745,2686.179,134.441
01/01/2021 8:00,5982.11,1854,2925.727,1708.138,2731.846,134.669
01/01/2021 9:00,6129.147,1917,2976.745,1742.862,2827.133,133.119
01/01/2021 10:00,6261.313,1970,3082.042,1757.787,2916.57,135.646
01/01/2021 11:00,6375.355,2032,3128.833,1728.797,2992.907,141.736
01/01/2021 12:00,6427.022,2032,3105.109,1668.043,3023.793,143.968
01/01/2021 13:00,6389.099,1995,3001.138,1529.435,3036.955,144.823
01/01/2021 14:00,6393.701,1941,2884.88,1441.15,3069.283,148.983
01/01/2021 15:00,6396.876,1905,2803.524,1348.303,3114.056,153.034
01/01/2021 16:00,6476.954,1899,2780.014,1348.666,3183.301,165.474
01/01/2021 17:00,6584.891,1940,2897.945,1385.408,3249.111,176.827
01/01/2021 18:00,6470.025,1941,2944.903,1449.378,3172.103,175.983
01/01/2021 19:00,6339.971,1878,2890.857,1407.007,3105.365,171.875
01/01/2021 20:00,6188.594,1818,2803.214,1370.768,3035.536,167.25
01/01/2021 21:00,5989.083,1741,2702.536,1354.934,2952.09,160.904
01/01/2021 22:00,5735.638,1697,2627.344,1333.532,2818.819,151.113
01/01/2021 23:00,5502.787,1633,2529.577,1289.939,2694.056,140.553
01/02/2021 0:00,5288.696,1582,2421.689,1272.353,2546.547,130.874
01/02/2021 1:00,5170.754,1530,2347.269,1267.92,2471.504,124.567
01/02/2021 2:00,5082.461,1515,2303.519,1262.963,2475.918,121.01
01/02/2021 3:00,5046.585,1507,2307.551,1273.606,2406.192,119.685
01/02/2021 4:00,5062.65,1522,2344.831,1295.138,2403.928,119.619
01/02/2021 5:00,5142.485,1559,2408.811,1317.143,2460.64,121.432
01/02/2021 6:00,5260.037,1619,2506.442,1299.426,2528.286,125.554
01/02/2021 7:00,5424.883,1699,2623.116,1478.932,2612.713,128.26
01/02/2021 8:00,5544.968,1756,2700.217,1522.914,2657.183,129.981
01/02/2021 9:00,5588.504,1811,2817.389,1607.005,2675.011,130.94
01/02/2021 10:00,5607.373,1835,2895.831,1645.704,2599.831,130.474
01/02/2021 11:00,5595.676,1851,2913.974,1634.579,2540.004,131.88
01/02/2021 12:00,5538.014,1849,2935.431,1611.102,2476.815,131.752
01/02/2021 13:00,5452.032,1841,2943.712,1584.921,2402.805,131.797
01/02/2021 14:00,5435.904,1848,2894.506,1539.935,2411.76,131.831
01/02/2021 15:00,5431.763,1852,2895.99,1524.755,2451.416,136.655
01/02/2021 16:00,5567.614,1885,2919.148,1542.097,2541.043,149.636
01/02/2021 17:00,5824.08,1971,3018.917,1619.473,2710.259,167.238
01/02/2021 18:00,5865.853,1957,3058.616,1677.055,2783.118,168.475
01/02/2021 19:00,5835.145,1926,3032.16,1677.086,2741.449,165.631
01/02/2021 20:00,5767.279,1887,2965.048,1664.692,2731.43,162.319
01/02/2021 21:00,5662.245,1823,2895.878,1620.164,2637.388,157.455
01/02/2021 22:00,5497.84,1766,2789.988,1602.854,2561.176,149.596
01/02/2021 23:00,5320.589,1692,2644.705,1499.2,2454.831,140.346
01/03/2021 0:00,5203.921,1622,2546.665,1441.681,2389.72,130.981
01/03/2021 1:00,5102.432,1580,2471.402,1414.681,2335.722,125.15
01/03/2021 2:00,5038.114,1550,2426.137,1422.863,2294.209,122.582
01/03/2021 3:00,5026.015,1546,2415.841,1409.853,2240.386,121.232
01/03/2021 4:00,5037.33,1548,2426.394,1421.746,2276.756,121.532
01/03/2021 5:00,5093.124,1574,2457.336,1469.847,2335.702,123.435
01/03/2021 6:00,5187.769,1616,2516.394,1510.587,2392.409,125.766
01/03/2021 7:00,5342.391,1678,2586.01,1556.021,2459.585,128.656
01/03/2021 8:00,5523.025,1744,2661.479,1641.262,2568.406,132.613
01/03/2021 9:00,5704.562,1803,2770.891,1715.868,2679.631,139.716
01/03/2021 10:00,5868.301,1858,2836.948,1745.354,2777.249,147.357
01/03/2021 11:00,5981.813,1887,2906.483,1715.328,2841.127,149.691
01/03/2021 12:00,6034.532,1914,2954.627,1746.234,2898.154,152.354
01/03/2021 13:00,6009.886,1910,2945.404,1772.471,2902.438,155.243
01/03/2021 14:00,5958.655,1906,2948.272,1772.406,2894.138,156.513
01/03/2021 15:00,5899.405,1910,2983.822,1772.058,2920.57,158.343
01/03/2021 16:00,6016.773,1977,3032.309,1807.419,2954.45,167.92
01/03/2021 17:00,6303.07,2066,3210.853,1890.026,3079.565,178.063
01/03/2021 18:00,6321.634,2074,3233.78,1920.038,3082.417,177.195
01/03/2021 19:00,6248.199,2041,3189.366,1919.114,3033.843,173.246
01/03/2021 20:00,6136.474,2002,3128.385,1906.462,2996.187,167.308
01/03/2021 21:00,5938.434,1936,3030.055,1849.416,2882.527,159.324
01/03/2021 22:00,5751.034,1871,2891.164,1810.19,2747.626,148.863
01/03/2021 23:00,5589.671,1815,2768.378,1745.197,2607.687,137.449
01/04/2021 0:00,5522.905,1772,2677.372,1753.927,2530.707,128.147
01/04/2021 1:00,5486.551,1738,2604.48,1744.993,2466.901,123.708
01/04/2021 2:00,5487.076,1724,2586.709,1769.065,2458.313,121.64
01/04/2021 3:00,5553.575,1740,2601.893,1812.958,2511.358,121.758
01/04/2021 4:00,5655.378,1776,2658.84,1860.611,2619.256,123.986
01/04/2021 5:00,5944.579,1891,2832.205,1958.065,2835.166,130.4
01/04/2021 6:00,6314.676,2046,3070.582,2149.058,3146.291,142.143
01/04/2021 7:00,6650.553,2181,3262.468,2229.962,3330.8,156.405
01/04/2021 8:00,6722.398,2218,3305.688,2207.185,3452.79,165.943
01/04/2021 9:00,6691.53,2243,3321.908,2112.146,3339.685,167.954
01/04/2021 10:00,6696.17,2265,3306.535,1953.45,3241.036,162.934
01/04/2021 11:00,6654.713,2238,3314.474,1820.538,3147.645,158.886
01/04/2021 12:00,6656.291,2231,3277.571,1710.818,3105.277,160.34
01/04/2021 13:00,6561.132,2200,3229.555,1620.301,3093.268,166.065
01/04/2021 14:00,6525.46,2142,3137.658,1549.676,3062.37,167.095
01/04/2021 15:00,6514.18,2123,3051.602,1527.458,3095.23,166.661
01/04/2021 16:00,6630.819,2121,3036.799,1529.527,3170.42,173.253
01/04/2021 17:00,6838.827,2226,3236.367,1705.157,3278.633,187.242
01/04/2021 18:00,6844.444,2272,3371.23,1823.281,3225.898,186.251
01/04/2021 19:00,6745.173,2260,3363.894,1847.621,3111.778,179.515
01/04/2021 20:00,6600.343,2215,3324.855,1873.428,2980.272,172.49
01/04/2021 21:00,6392.565,2155,3215.167,1834.891,2881.931,164.065
01/04/2021 22:00,6165.966,2073,3091.072,1773.049,2698.353,151.265
01/04/2021 23:00,5774.485,1986,2950.134,1682.912,2567.477,137.707
01/05/2021 0:00,5690.445,1924,2844.698,1621.797,2432.424,128.428
01/05/2021 1:00,5571.078,1878,2764.051,1592.224,2388.195,123.395
01/05/2021 2:00,5533.133,1851,2722.664,1555.155,2329.292,120.717
01/05/2021 3:00,5551.224,1845,2720.446,1548.231,2370.158,120.608
01/05/2021 4:00,5560.814,1877,2758.444,1588.485,2436.384,122.711
01/05/2021 5:00,5882.571,1969,2891.701,1632.473,2609.522,129.268
01/05/2021 6:00,6265.18,2104,3089.047,1755.226,2886.833,140.625
01/05/2021 7:00,6506.83,2238,3267.716,1833.051,3096.941,154.309
01/05/2021 8:00,6608.34,2285,3336.658,1809.187,3201.397,162.434
01/05/2021 9:00,6587.13,2325,3384.216,1873.666,3233.185,165.874
01/05/2021 10:00,6634.001,2368,3446.159,1921.379,3196.712,165.317
01/05/2021 11:00,6641.416,2378,3487.289,1954.816,3176.633,166.62
01/05/2021 12:00,6618.545,2384,3542.474,1947.365,3189.062,167.254
01/05/2021 13:00,6633.672,2370,3539.224,1966.887,3167.588,168.295
01/05/2021 14:00,6489.206,2337,3488.351,1949.94,3149.609,168.848
