time,AP,DAY,DEOK,EKPC,PEPCO,RECO
01/01/2016 0:00,4964.537,1741,2732.349,1485,2351.764,141.654
01/01/2016 1:00,4891.24,1694,2671.339,1482,2325.194,130.591
01/01/2016 2:00,4831.363,1659,2609.347,1438,2269.001,123.191
01/01/2016 3:00,4726.83,1630,2587.355,1464,2273.126,119.415
01/01/2016 4:00,4735.024,1643,2599.347,1446,2243.84,119.177
01/01/2016 5:00,4847.579,1677,2660.341,1487,2339.301,121.494
01/01/2016 6:00,5030.395,1719,2715.34,1519,2419.088,125.849
01/01/2016 7:00,5142.485,1780,2772.355,1563,2414.122,128.073
01/01/2016 8:00,5313.321,1793,2801.365,1616,2481.688,129.075
01/01/2016 9:00,5517.526,1854,2838.38,1636,2543.962,134.388
01/01/2016 10:00,5618.504,1883,2876.381,1642,2582.762,138.321
01/01/2016 11:00,5747.115,1906,2885.383,1608,2621.063,141.882
01/01/2016 12:00,5729.291,1904,2862.395,1541,2642.857,144.21
01/01/2016 13:00,5668.648,1890,2820.398,1462,2657.497,147.607
01/01/2016 14:00,5550.371,1886,2779.379,1397,2673.239,151.005
01/01/2016 15:00,5497.611,1890,2790.386,1364,2666.378,151.621
01/01/2016 16:00,5641.877,1924,2822.397,1387,2789.341,161.308
01/01/2016 17:00,6027.735,2039,3054.382,1536,2968.643,179.031
01/01/2016 18:00,6105.08,2079,3190.322,1668,2943.746,180.816
01/01/2016 19:00,6080.273,2058,3178.312,1694,2960.829,178.994
01/01/2016 20:00,6007.503,2029,3150.318,1716,2916.155,175.867
01/01/2016 21:00,5885.412,1982,3116.317,1699,2869.052,170.624
01/01/2016 22:00,5675.976,1910,3020.319,1685,2767.395,160.302
01/01/2016 23:00,5418.367,1846,2912.296,1631,2659.245,147.158
01/02/2016 0:00,5200.892,1786,2808.29,1611,2602.753,134.723
01/02/2016 1:00,5081.509,1737,2745.299,1593,2505.252,127.064
01/02/2016 2:00,5025.734,1713,2709.309,1605,2487.037,123.769
01/02/2016 3:00,5032.784,1706,2707.316,1648,2415.366,122.792
01/02/2016 4:00,5104.306,1727,2732.295,1648,2479.864,122.848
01/02/2016 5:00,5234.439,1771,2795.302,1709,2525.839,125.554
01/02/2016 6:00,5437.782,1843,2919.3,1847.049,2672.278,130.297
01/02/2016 7:00,5663.995,1934,3000.307,1909.266,2759.162,135.696
01/02/2016 8:00,5778.021,1951,3052.323,1952.202,2853.12,141.635
01/02/2016 9:00,5814.206,1975,3048.29,1892.031,2872.909,148.002
01/02/2016 10:00,5822.126,1988,3023.276,1799.751,2842.171,149.736
01/02/2016 11:00,5738.016,1947,2963.292,1676.898,2763.113,149.046
01/02/2016 12:00,5611.114,1918,2907.286,1588.499,2736.8,148.161
01/02/2016 13:00,5481.04,1855,2854.319,1517.372,2630.613,145.147
01/02/2016 14:00,5353.463,1807,2792.351,1456.45,2589.485,143.882
01/02/2016 15:00,5323.195,1780,2746.348,1441.173,2599.137,148.053
01/02/2016 16:00,5485.606,1791,2781.354,1446.728,2645.67,163.517
01/02/2016 17:00,5983.462,1924,2984.349,1583.112,2886.393,180.618
01/02/2016 18:00,6144.405,2012,3147.328,1727.747,2929.975,181.916
01/02/2016 19:00,6126.895,1997,3138.314,1747.939,2920.058,179.235
01/02/2016 20:00,6109.504,1984,3133.312,1732.045,2922.512,177.074
01/02/2016 21:00,6010.158,1942,3069.321,1745.936,2851.838,173.018
01/02/2016 22:00,5794.132,1875,2976.319,1757.198,2815.709,163.039
01/02/2016 23:00,5593.306,1798,2861.313,1737.209,2668.018,150.23
01/03/2016 0:00,5406.461,1733,2748.302,1691.185,2597.433,138.133
01/03/2016 1:00,5250.582,1683,2673.306,1683.727,2535.045,129.268
01/03/2016 2:00,5192.88,1660,2645.31,1662.043,2494.726,125.458
01/03/2016 3:00,5112.326,1651,2625.311,1671.168,2498.458,123.437
01/03/2016 4:00,5099.331,1655,2652.304,1690.226,2532.897,123.513
01/03/2016 5:00,5212.721,1683,2702.302,1763.839,2589.827,125.27
01/03/2016 6:00,5346.126,1729,2766.308,1783.242,2689.528,128.732
01/03/2016 7:00,5558.867,1809,2848.307,1869.334,2744.917,130.833
01/03/2016 8:00,5636.274,1850,2896.318,1917.292,2777.358,133.677
01/03/2016 9:00,5609.352,1925,2922.308,1849.322,2760.256,135.347
01/03/2016 10:00,5563.377,1951,2945.496,1722.669,2692.841,134.53
01/03/2016 11:00,5489.579,1955,2983.764,1602.793,2614.171,134.712
01/03/2016 12:00,5472.36,1963,3024.851,1529.977,2597.675,135.537
01/03/2016 13:00,5370.615,1934,3022.34,1480.975,2557.472,140.158
01/03/2016 14:00,5335.609,1925,2982.779,1414.052,2550.841,139.788
01/03/2016 15:00,5380.486,1955,2950.577,1367.313,2561.902,142.733
01/03/2016 16:00,5724.401,2010,3094.043,1465.151,2634.867,157.263
01/03/2016 17:00,6186.687,2136,3327.318,1582.457,2894.227,179.808
01/03/2016 18:00,6313.718,2182,3418.39,1710.487,3040.126,183.054
01/03/2016 19:00,6322.178,2159,3405.696,1854.992,3049.781,182.356
01/03/2016 20:00,6281.429,2133,3345.275,1839.076,3037.506,177.704
01/03/2016 21:00,6057.509,2045,3210.043,1820.19,2915.192,168.417
01/03/2016 22:00,5771.388,1952,3014.439,1752.078,2789.715,155.277
01/03/2016 23:00,5512.103,1897,2864.149,1644.701,2679.249,140.382
01/04/2016 0:00,5336.607,1837,2766.456,1607.624,2515.499,129.708
01/04/2016 1:00,5304.555,1807,2710.427,1596.688,2464.203,125.989
01/04/2016 2:00,5241.357,1800,2708.5,1564.744,2443.407,123.678
01/04/2016 3:00,5398.066,1812,2719.912,1551.732,2486.085,124.386
01/04/2016 4:00,5551.365,1862,2799.54,1649.504,2616.415,128.076
01/04/2016 5:00,5927.68,1997,3022.141,1767.443,2899.893,137.071
01/04/2016 6:00,6486.488,2204,3321.634,1953.791,3277.774,156.045
01/04/2016 7:00,6794.163,2346,3510.802,1984.144,3535.756,173.685
01/04/2016 8:00,6762.586,2355,3447.024,1971.815,3537.609,179.155
01/04/2016 9:00,6702.904,2340,3446.318,1965.345,3554.067,179.572
01/04/2016 10:00,6754.494,2334,3429.361,1932.814,3432.615,177.831
01/04/2016 11:00,6705.521,2315,3365.155,1893.613,3369.265,176.847
01/04/2016 12:00,6652.37,2325,3330.164,1834.964,3334.294,175.339
01/04/2016 13:00,6680.453,2336,3325.037,1757.677,3307.401,175.863
01/04/2016 14:00,6680.12,2311,3335.733,1731.205,3323.169,177.621
01/04/2016 15:00,6777.783,2298,3358.338,1765.239,3432.623,180.241
01/04/2016 16:00,7056.553,2323,3417.007,1791.3,3568.196,194.121
01/04/2016 17:00,7525.995,2432,3582.525,1958.051,3833.158,215.027
01/04/2016 18:00,7704.85,2513,3708.957,2089.13,3904.739,217.326
01/04/2016 19:00,7703.44,2502,3671.713,2084.484,3806.296,214.874
01/04/2016 20:00,7662.632,2478,3615.256,2115.597,3709.368,209.273
01/04/2016 21:00,7482.307,2418,3519.204,2080.69,3582.986,198.404
01/04/2016 22:00,7241.424,2294,3350.822,2019.892,3414.123,181.409
01/04/2016 23:00,7015.858,2185,3193.997,1945.639,3262.108,163.447
01/05/2016 0:00,6894.037,2124,3088.962,1921.798,3149.637,151.233
01/05/2016 1:00,6806.925,2090,3038.049,1890.036,3182.149,145.218
01/05/2016 2:00,6841.875,2063,3027.978,1906.712,3196.629,142.292
01/05/2016 3:00,6964.012,2086,3059.837,1958.153,3234.47,142.316
01/05/2016 4:00,7142.584,2141,3148.649,2029.183,3374.698,146.095
01/05/2016 5:00,7433.497,2272,3372.201,2174.38,3663.502,156.16
01/05/2016 6:00,8084.27,2484,3714.491,2356.354,4048.05,173.664
01/05/2016 7:00,8323.458,2607,3892.411,2399.547,4266.064,189.716
01/05/2016 8:00,8171.637,2578,3846.465,2331.657,4229.807,194.453
01/05/2016 9:00,7793.065,2532,3739.003,2174.502,4079.68,195.033
01/05/2016 10:00,7589.986,2482,3665.015,2010.433,3910.357,192.84
01/05/2016 11:00,7394.078,2405,3593.011,1921.318,3806.781,191.109
01/05/2016 12:00,7072.225,2359,3538.001,1699.732,3679.827,188.758
01/05/2016 13:00,6913.776,2307,3474.004,1657.494,3623.273,187.38
01/05/2016 14:00,6682.678,2260,3385.638,1573.844,3527.356,186.339
01/05/2016 15:00,6647.266,2215,3341.669,1584.834,3548.487,187.213
01/05/2016 16:00,6911.936,2250,3391.383,1668.924,3646.537,197.765
01/05/2016 17:00,7452.309,2384,3631.955,1855.282,3919.6,217.609
01/05/2016 18:00,7716.628,2497,3801.159,2046.112,3935.176,218.267
01/05/2016 19:00,7777.28,2498,3789.154,2131.369,3894.318,214.547
01/05/2016 20:00,7800.495,2466,3730.288,2130.59,3810.086,208.914
01/05/2016 21:00,7572.842,2392,3626.513,2118.732,3669.724,197.298
01/05/2016 22:00,7309.515,2279,3426.348,2046.708,3480.542,179.092
01/05/2016 23:00,7027.561,2167,3266.887,1977.6,3283.646,161.524
01/06/2016 0:00,6855.46,2103,3166.009,1908.644,3196.859,149.51
01/06/2016 1:00,6820.759,2056,3111.095,1936.648,3180.105,144.132
01/06/2016 2:00,6840.934,2043,3096.37,1952.55,3158.069,141.291
01/06/2016 3:00,6954.961,2040,3126.589,1979.872,3230.734,140.956
01/06/2016 4:00,7196.128,2097,3204.805,2039.839,3344.323,143.699
